question,prompt,answer
Did Amanda bake cookies for Jerry?,"Did Amanda bake cookies for Jerry?: Amanda: I baked  cookies. Do you want some?
Jerry: Sure!
Amanda: I'll bring you tomorrow :-)",Amanda baked cookies for Jerry
Did Amanda bake cookies for Jerry?,"Did Amanda bake cookies for Jerry?: Val: it's raining!
Candy: I know, just started...
Val: r we going? we will be wet
Candy: maybe wait a little? see if stops
Val: ok. let's wait half h and than see
Candy: god idea, I call u then
Val: great :)",I cannot be sure given this transcript
When will she bring them?,"When will she bring them?: Amanda: I baked  cookies. Do you want some?
Jerry: Sure!
Amanda: I'll bring you tomorrow :-)",She will bring them tomorrow
When will she bring them?,"When will she bring them?: Val: it's raining!
Candy: I know, just started...
Val: r we going? we will be wet
Candy: maybe wait a little? see if stops
Val: ok. let's wait half h and than see
Candy: god idea, I call u then
Val: great :)",I cannot be sure given this transcript
Will Amanda bring Jerry some cookies?,"Will Amanda bring Jerry some cookies?: Amanda: I baked  cookies. Do you want some?
Jerry: Sure!
Amanda: I'll bring you tomorrow :-)",Amanda will bring Jerry some cookies
Will Amanda bring Jerry some cookies?,"Will Amanda bring Jerry some cookies?: Val: it's raining!
Candy: I know, just started...
Val: r we going? we will be wet
Candy: maybe wait a little? see if stops
Val: ok. let's wait half h and than see
Candy: god idea, I call u then
Val: great :)",I cannot be sure given this transcript
"Who will bring the cookies tomorrow, Amanda or Jerry?","Who will bring the cookies tomorrow, Amanda or Jerry?: Amanda: I baked  cookies. Do you want some?
Jerry: Sure!
Amanda: I'll bring you tomorrow :-)",Amanda baked some cookies and Jerry will bring some tomorrow.
"Who will bring the cookies tomorrow, Amanda or Jerry?","Who will bring the cookies tomorrow, Amanda or Jerry?: Val: it's raining!
Candy: I know, just started...
Val: r we going? we will be wet
Candy: maybe wait a little? see if stops
Val: ok. let's wait half h and than see
Candy: god idea, I call u then
Val: great :)",I cannot be sure given this transcript
Are Oliver and Olivia voting for Liberals in the election?,"Are Oliver and Olivia voting for Liberals in the election?: Olivia: Who are you voting for in this election? 
Oliver: Liberals as always.
Olivia: Me too!!
Oliver: Great",Oliver and Olivia are voting for liberals in the election
Are Oliver and Olivia voting for Liberals in the election?,"Are Oliver and Olivia voting for Liberals in the election?: Randolph: Honey
Randolph: Are you still in the pharmacy?
Maya: Yes
Randolph: Buy me some earplugs please
Maya: How many pairs?
Randolph: 4 or 5 packs
Maya: I'll get you 5
Randolph: Thanks darling",I cannot be sure given this transcript
Does Álvaro always vote for Liberals?,"Does Álvaro always vote for Liberals?: Olivia: Who are you voting for in this election? 
Oliver: Liberals as always.
Olivia: Me too!!
Oliver: Great",lvaro s vote for Liberals as always
Does Álvaro always vote for Liberals?,"Does Álvaro always vote for Liberals?: Randolph: Honey
Randolph: Are you still in the pharmacy?
Maya: Yes
Randolph: Buy me some earplugs please
Maya: How many pairs?
Randolph: 4 or 5 packs
Maya: I'll get you 5
Randolph: Thanks darling",I cannot be sure given this transcript
